SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018dcw,2018dcw,2018/07/04.342,'13:25:37.140,+36:23:04.07,0.019,16.9,---,---,15.21346925,II,UGC 08440,ATLAS,No
2018ddg,2018ddg,2018/07/01.224,'14:12:18.250,+62:38:34.72,0.073,18,---,---,3.2,Ia,SDSS J141218.68+623833.5,ZTF,No
2018ddh,2018ddh,2018/07/01.197,'12:18:44.040,+44:46:55.11,0.038,17.1,---,17.186,4.452581654,Ia,CGCG 244-002,ZTF,Yes
2018dfg,2018dfg,2018/07/10.433,'14:06:34.700,-05:27:02.90,0.009,15.9,---,16.422,8.762299585,IIb,NGC 5468,Stu Parker,Yes
2018dfi,2018dfi,2018/07/08.343,'16:50:50.140,+45:23:52.07,0.031,17.9,---,---,22.9,II,UGC 10586,Tim Puckett et al.,No
2018dfy,2018dfy,2018/07/10.483,'21:43:32.910,+43:32:58.20,0.013519,17.1,---,---,7.077531643,IIn,UGC 11801,LOSS,Yes
2018dht,2018dht,2018/07/11.769,'20:55:19.050,+00:32:19.14,0.02,17.4,---,---,7.719824267,II,CGCG 374-027,PMO-Tsinghua Supernova Survey (PTSS),No
2018dhw,2018dhw,2018/07/09.492,'18:59:57.520,+72:16:02.15,0.029,16.7,---,16.56,12.24,Ia,WISEA J185954.98+721557.2,ATLAS,Yes
2018djg,2018djg,2018/07/12.408,'15:58:49.680,+14:58:11.21,0.036,18,---,17.375,6,IIP,KUG 1556+151,ATLAS,No
2018dsv,2018dsv,2018/07/13.406,'17:11:13.490,+38:35:25.95,0.04,16.1,---,16.38,6.145938195,Ia,CGCG 198-017,ATLAS,Yes
2018dv,2018dv,2018/01/05.352,'02:32:01.030,+08:35:16.15,0.031,16.9,---,---,21.2,Ia,WISEA J023202.09+083530.7,ATLAS,No
2018dyz,2018dyz,2018/07/16.357,'15:10:40.480,+08:34:27.76,0.045,16.4,---,16.9,13.5,Ia,WISEA J151039.86+083417.8,ATLAS,Yes
2018dz,2018dz,2018/01/08.708,'01:12:05.064,-69:04:59.93,0.02,17.2,---,---,0.915724298,II,WISEA J011205.13-690459.7,Gaia,No
2018dzc,2018dzc,2018/07/15.595,'18:23:09.270,+21:14:56.46,0.0154,16.9,17.02,---,36.46898797,II,UGC 11216,PMO-Tsinghua Supernova Survey (PTSS),No
2018dzr,2018dzr,2018/07/16.036,'17:02:22.568,+57:45:05.15,0.07,18,---,---,1.44,Ia,WISEA J170222.61+574503.7,Gaia,No
2018dzy,2018dzy,2018/07/16.594,'22:00:41.710,+19:39:58.34,0.02,16.8,---,16.44,15.94517853,Ia,UGC 11873,ATLAS,Yes
2018eak,2018eak,2018/07/18.376,'16:15:48.490,+19:39:25.85,0.03,17.8,---,16.85,18.5,Ia,2MASX J16154858+1939440,ATLAS,Yes
2018eay,2018eay,2018/07/15.196,'18:16:13.080,+55:35:27.20,0.018,16,---,16.79,10.09813257,Ia-91T,IC 1286,ATLAS,Yes
2018ebk,2018ebk,2018/07/16.551,'20:28:35.540,+25:44:08.32,0.0139,17.5,---,16.47,10.54624277,Ia,MCG +04-48-002,ATLAS,Yes
