HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
2MASX J16535612+3515186,0.037248,ASASSN-18dd,Unk,4.65,0.069,20.2257,0.0912,17.048,0.01,15.38370037,0.000923,14.71539974,0.000673,14.39949989,0.000491,14.22579956,0.000841,13.97780037,0.001609,12.927,0.025,12.251,0.031,11.933,0.042,11.979,0.023,11.983,0.023
2MASX J06005908-1759313,0.088236,ASASSN-18dj,Ic-BL,2.95,0.409,20.3478,0.1361,---,---,17.37439919,0.003886,16.67930031,0.002548,16.52009964,0.001443,16.12529945,0.003847,15.88510036,0.006802,14.859,0.074,14.003,0.087,13.7,0.109,13.317,0.032,13.06,0.033
CGCG 062-012,0.030834,ASASSN-18dk,Ia,0.45,0.137,20.7137,0.1203,17.101,0.011,15.17490005,0.00176,14.54409981,0.000584,14.15429974,0.000966,13.95230007,0.000722,13.7123003,0.00149,12.567,0.042,11.915,0.056,11.475,0.078,11.728,0.023,11.794,0.022
2MASX J10023148+1343409,0.03349,ASASSN-18dl,Ia,0.29,0.069,20.9244,0.3175,18.599,0.021,17.02939987,0.001999,16.34900093,0.001486,16.01919937,0.001079,15.82530022,0.002136,15.60550022,0.004276,14.577,0.054,14.004,0.077,13.63,0.079,13.535,0.025,13.467,0.033
WISEA J115245.36+375117.0,---,ASASSN-18dm,Ia,2.34,0,21.6898,0.3723,21.204,0.166,20.86330032,0.055296,20.05039978,0.030556001,19.7772007,0.035034001,19.75309944,0.040918,19.72060013,0.067409001,---,---,---,---,---,---,16.002,0.054,15.751,0.129
2MASX J06105892-3341177,0.03848,ASASSN-18dn,Ia,1.06,0.013,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.15,0.055,13.431,0.053,13.068,0.086,13.091,0.031,12.946,0.034
ARK 364,0.019013,ASASSN-18dr,Ic-BL,0.44,0,16.5648,0.0173,15.515,0.005,14.83979988,0.000893,14.4211998,0.000674,14.24919987,0.000711,14.13490009,0.000854,13.99660015,0.001771,13.129,0.042,12.471,0.046,12.21,0.082,12.064,0.023,11.878,0.023
2MASX J14090127-3033321,0.023436,ASASSN-18dt,Ia,6.53,0.245,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11.553,0.022,10.857,0.026,10.575,0.047,10.899,0.023,10.964,0.022
LCRS B133543.8-060003,0.054971,ASASSN-18du,Ia,7.9,0.057,---,---,---,---,17.47870064,0.003583,17.04450035,0.003916,16.75989914,0.004219,16.65049934,0.004848,16.50959969,0.008751,---,---,---,---,---,---,14.34,0.028,14.189,0.044
2MASX J05031988-1058163,---,ASASSN-18dv,Ia,3.22,0.269,19.0459,0.0921,---,---,16.85449982,0.003343,16.46299934,0.00274,16.20750046,0.002432,16.09639931,0.004964,15.93830013,0.011105,15.256,0.096,14.673,0.131,14.374,0.197,14.122,0.029,13.965,0.041
2MASX J12152315+2737346,0.03592,ASASSN-18ef,Ia,0.72,0.059,21.3121,0.29,18.089,0.019,16.35099983,0.001972,15.66419983,0.00122,15.32349968,0.000931,15.06540012,0.00146,14.86410046,0.002718,13.957,0.035,13.263,0.042,13.003,0.055,12.83,0.023,12.865,0.026
2MASX J19271951+6533539,0.016998,ASASSN-18el,II,0.37,0.405,---,---,---,---,16.69939995,0.001916,15.73530006,0.001525,15.6274004,0.001186,15.25660038,0.003605,15.12030029,0.006,14.48,0.057,13.822,0.06,13.498,0.09,13.243,0.026,13.168,0.026
ESO 355-IG 013 NED02,---,ASASSN-18em,Ia,11.83,unk,19.0264,0.0786,---,---,---,---,---,---,---,---,---,---,---,---,14.368,0.06,13.671,0.064,13.335,0.087,12.978,0.024,12.775,0.026
NGC 5419,0.013763,ASASSN-18en,Ia,4.07,0.233,17.3366,0.0463,---,---,---,---,---,---,---,---,---,---,---,---,8.712,0.017,8.013,0.017,7.731,0.019,9.243,0.021,9.232,0.019
GALEXASC J035801.64-653024.6,---,ASASSN-18eo,II-pec,1.36,0.137,20.4183,0.1623,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.261,0.041,16.378,0.114
LCRS B103002.1-022549,0.0309,ASASSN-18et,Ia,0.54,0.081,---,---,18.149,0.017,16.41329956,0.002093,15.75440025,0.001262,15.42160034,0.001308,15.2166996,0.001272,15.01599979,0.002736,13.984,0.044,13.262,0.046,12.969,0.081,12.766,0.023,12.658,0.024
ESO 200-IG 037 NED01,0.039461,ASASSN-18ev,Ia,0.81,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12.938,0.039,12.126,0.045,11.815,0.062,11.801,0.023,11.671,0.021
SDSS J102250.88+140316.5,0.04168,ASASSN-18ew,Ia,1.35,0.105,20.4387,0.1707,19.266,0.035,18.34370041,0.007042,17.92900085,0.00509,17.68860054,0.005017,17.56920052,0.009585,17.42560005,0.016968001,---,---,---,---,---,---,15.451,0.043,15.359,0.096
2MASX J11515984+0942111,0.050852,ASASSN-18ex,Ic,0.46,0,---,---,18.007,0.021,16.57889938,0.002917,15.91160011,0.002145,15.51159954,0.00145,15.26889992,0.002221,14.98900032,0.003826,14.002,0.06,13.296,0.062,12.854,0.091,12.872,0.029,12.785,0.034
2MASX J04512041-1841487,0.065568,ASASSN-18ez,Unk,5.02,0.053,18.6883,0.0727,---,---,16.62459946,0.001683,16.20680046,0.001835,15.87020016,0.000951,15.77939987,0.002526,15.56340027,0.00529,14.635,0.053,13.873,0.055,13.59,0.088,13.412,0.044,13.056,0.043
2MASX J04594562-2150283,0.0535,ASASSN-18fc,Unk,6.14,0.029,18.6693,0.0472,---,---,15.97360039,0.001754,15.3743,0.0015,15.07310009,0.000877,14.86909962,0.002481,14.63980007,0.004091,13.894,0.06,13.232,0.067,12.752,0.095,12.763,0.024,12.521,0.024
WISEA J062206.79-053108.0,'---,ASASSN-18fd,Unk,1.1,        ,---,---,---,---,20.77599907,0.034963999,20.22240067,0.029317001,19.48649979,0.018505,19.40010071,0.024972999,19.33200073,0.093308002,---,---,---,---,---,---,16.393,0.071,16.2,0.179
ESO 203- G 013,0.042006,ASASSN-18ff,Ia,9.13,0,17.3205,0.0212,---,---,---,---,---,---,---,---,---,---,---,---,13.508,0.064,12.828,0.075,12.391,0.098,12.499,0.123,12.647,0.024
2MASX J14481584+2617048,0.051659,ASASSN-18fm,Ia,0.26,0.061,18.8129,0.0477,17.026,0.012,15.42870045,0.001362,14.71010017,0.000817,14.34459972,0.000727,14.10060024,0.001255,13.79520035,0.002327,12.731,0.033,11.973,0.047,11.616,0.063,11.617,0.022,11.586,0.021
2MASX J11384720-3310063,0.035658,ASASSN-18fn,Ia,1.09,0.277,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11.287,0.024,10.554,0.029,10.263,0.047,10.747,0.022,10.761,0.02
