SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18em,SN 2018zv,2018-03-04.03,'02:23:01.71,'-36:52:59.23,0.04309,17,---,16.41,11.83,Ia,2,ESO 355-IG 013 NED02,,
ASASSN-18en,SN 2018zz,2018-03-03.92,'14:03:39.03,'-33:58:42.82,0.013763,16,---,14.96,4.07,Ia,8,NGC 5419,,
ASASSN-18eo,SN 2018aad,2018-03-05.08,'03:58:01.50,'-65:30:24.52,0.01,16.7,---,16.2,1.36,II-pec,14,GALEXASC J035801.64-653024.6,,
ASASSN-18et,SN 2018aay,2018-03-06.08,'10:32:34.75,'-02:41:18.82,0.0309,17.5,---,16.97,0.54,Ia,-2,LCRS B103002.1-022549,,
ASASSN-18ev,SN 2018abn,2018-03-04.02,'03:31:52.96,'-52:07:24.71,0.039461,17.5,---,16.51,0.81,Ia,3,ESO 200-IG 037 NED01,,
ASASSN-18ew,SN 2018aca,2018-03-07.17,'10:22:50.79,'+14:03:16.99,0.041692,17.1,---,16.84,1.35,Ia,-1,SDSS J102250.88+140316.5,,
ASASSN-18ex,SN 2018abo,2018-02-26.30,'11:51:59.84,'+09:42:11.20,0.050822,18.2,---,16.89,0.46,Ic,7,2MASX J11515984+0942111,,
ASASSN-18ez,AT 2018abr,2018-03-07.06,'04:51:20.28,'-18:41:53.74,Unk,18.2,---,17.09,5.02,Unk,-4,2MASX J04512041-1841487,,
ASASSN-18fc,AT 2018acv,2018-03-07.09,'04:59:45.39,'-21:50:33.50,0.0535,17.9,---,17.23,6.14,Unk,-4,2MASX J04594562-2150283,,
ASASSN-18fd,AT 2018acw,2018-03-09.03,'06:22:06.83,'-05:31:08.98,Unk,16.6,16.68,---,1.1,Unk,0,WISEA J062206.79-053108.0,,
